,short_ma,long_ma,signal,cumulative_return,sharpe
1250,7,57,7,1.805645399780269,0.2189600571730481
3632,11,42,5,1.7720518341064433,0.2115839770447471
2385,9,46,6,1.7517025585937607,0.20712328385446294
420,6,46,9,1.7517025585937607,0.20712328385446294
437,6,47,10,1.74804849914551,0.2065833421354617
3057,10,47,6,1.74804849914551,0.2065833421354617
404,6,45,9,1.7327807775878947,0.20329640382715575
2369,9,45,6,1.7327807775878947,0.20329640382715575
1873,8,55,6,1.7307993542480575,0.20353794520255547
563,6,55,8,1.7307993542480575,0.20353794520255547
1698,8,44,7,1.7288927490234356,0.2025089614479298
1043,7,44,8,1.7288927490234356,0.2025089614479298
1858,8,54,7,1.720350685424809,0.2008957612533541
1203,7,54,8,1.720350685424809,0.2008957612533541
1091,7,47,8,1.719801091308589,0.20041477172743755
1746,8,47,7,1.719801091308589,0.20041477172743755
1889,8,56,6,1.7194655871582085,0.20107216623132854
579,6,56,8,1.7194655871582085,0.20107216623132854
3073,10,48,6,1.710320453491196,0.19851136842099718
453,6,48,10,1.710320453491196,0.19851136842099718
1730,8,46,7,1.704261026000979,0.19700270914261445
1075,7,46,8,1.704261026000979,0.19700270914261445
1219,7,55,8,1.6983612164306676,0.19594410506405355
1874,8,55,7,1.6983612164306676,0.19594410506405355
3041,10,46,6,1.697069157104498,0.19569414724421438
421,6,46,10,1.697069157104498,0.19569414724421438
436,6,47,9,1.6923382165527319,0.1946108181337425
2401,9,47,6,1.6923382165527319,0.1946108181337425
1905,8,57,6,1.6868556872558569,0.19388794274674961
595,6,57,8,1.6868556872558569,0.19388794274674961
4288,12,42,5,1.6798991394043004,0.19193638111934067
3120,10,51,5,1.671165355834955,0.18993836622311122
1921,8,58,6,1.6688592175292907,0.18981125260547063
611,6,58,8,1.6688592175292907,0.18981125260547063
1187,7,53,8,1.6682589495849571,0.1893526701737459
1842,8,53,7,1.6682589495849571,0.1893526701737459
2545,9,56,6,1.6650874139404264,0.18874818056827675
580,6,56,9,1.6650874139404264,0.18874818056827675
2337,9,43,6,1.6647040826416049,0.18779375873470744
372,6,43,9,1.6647040826416049,0.18779375873470744
2592,9,59,5,1.659019071655275,0.1876937611488249
3104,10,50,5,1.6569003308105428,0.18675932185026342
2417,9,48,6,1.65612747619629,0.18659077050402906
452,6,48,9,1.65612747619629,0.18659077050402906
1218,7,55,7,1.6557046850585972,0.18700422524261753
1202,7,54,7,1.6557046850585972,0.18700422524261753
2529,9,55,6,1.6556523443603501,0.18660577724428848
564,6,55,9,1.6556523443603501,0.18660577724428848
3696,11,46,5,1.6514141314697262,0.18553871868295108
1234,7,56,7,1.6513175567626877,0.1858436718464335
596,6,57,9,1.6468848980712933,0.18492875567820835
2561,9,57,6,1.6440358990478399,0.18422181009797672
1059,7,45,8,1.643930789184575,0.18390800862808865
1714,8,45,7,1.643930789184575,0.18390800862808865
4304,12,43,5,1.6435308636474555,0.1840687726217542
388,6,44,9,1.6351007116699292,0.1813790420005912
2353,9,44,6,1.6351007116699292,0.1813790420005912
3840,11,55,5,1.626094006958007,0.18136031156508498
1266,7,58,7,1.6260674279785134,0.18005905845615977
2608,9,60,5,1.6238345574951136,0.1799640176362605
2560,9,57,5,1.6188633264160193,0.1783456877947087
1651,8,41,8,1.61864263793945,0.17826656785489703
405,6,45,10,1.6171357733154215,0.17781155866945852
3025,10,45,6,1.6171357733154215,0.17781155866945852
3664,11,44,5,1.614694259643558,0.177159023404181
3680,11,45,5,1.6127012384033275,0.17679179667042938
3184,10,55,5,1.6104010888671936,0.17617861129367687
3152,10,53,5,1.6056504058837962,0.17514474255349063
3136,10,52,5,1.6055629949951231,0.17511707139901223
1235,7,56,8,1.6044807623290955,0.17502164407977286
1890,8,56,7,1.6044807623290955,0.17502164407977286
3168,10,54,5,1.5973787670898432,0.17309270095933815
4320,12,44,5,1.595506699829105,0.1731099273826778
643,6,60,8,1.5935319628906257,0.17284005216454085
1953,8,60,6,1.5935319628906257,0.17284005216454085
357,6,42,10,1.5924599731445261,0.17199147987508961
2977,10,42,6,1.5924599731445261,0.17199147987508961
2576,9,58,5,1.591772733154294,0.1719094681331656
1282,7,59,7,1.5891630847167943,0.17164679048163117
1666,8,42,7,1.584680389404297,0.16970989073875115
1011,7,42,8,1.584680389404297,0.16970989073875115
612,6,58,9,1.5757238391113269,0.16946998598624652
341,6,41,10,1.5749850280761766,0.1680609404210942
2961,10,41,6,1.5749850280761766,0.1680609404210942
627,6,59,8,1.5746456628417993,0.16839655652365718
1937,8,59,6,1.5746456628417993,0.16839655652365718
3648,11,43,5,1.5738062109375062,0.16771763419015123
980,7,40,9,1.5664169415283213,0.16588789270548604
2290,9,40,7,1.5664169415283213,0.16588789270548604
3808,11,53,5,1.5647647326660186,0.16703641505179145
3264,10,60,5,1.564448912353514,0.1656387804931782
