,short_ma,long_ma,signal,regime,cumulative_return,sharpe
0,9,46,6,,2.9045789405441136,0.6372768610817023
1,10,51,5,,2.8703361782455423,0.6301123656718669
2,6,55,8,,2.834083670005797,0.6217340425400856
3,7,51,8,,2.7970260456848255,0.6164570562784585
4,9,51,6,,2.7967862139511133,0.6128862196763312
5,12,42,5,,2.783445720252989,0.6172241585576712
6,10,46,6,,2.7691786512374836,0.6105248790285783
7,6,46,10,,2.7691786512374836,0.6105248790285783
8,7,55,8,,2.768176118583693,0.6112867417172791
9,7,46,8,,2.7649207450866773,0.6071624036351453
10,12,37,5,,2.694235811080943,0.594769690476081
11,9,60,5,,2.68461717697144,0.5923394311380324
12,10,46,5,,2.68234584579469,0.5838788796793548
13,6,60,8,,2.6523012814712517,0.5868593863316878
14,10,60,5,,2.6517996046447805,0.5851760354061246
15,12,51,5,,2.639529821548461,0.5804768840047816
16,9,55,6,,2.63608876934052,0.5814018570213177
17,6,42,10,,2.6288263718795766,0.5798898348956205
18,10,42,6,,2.6288263718795766,0.5798898348956205
19,6,51,8,,2.610996072769169,0.5687827485772287
20,6,51,10,,2.6073016715240476,0.5737556412014031
21,7,60,8,,2.6072431162261975,0.5738318865336903
22,10,51,6,,2.602512326393135,0.5727333585531823
23,9,55,5,,2.5970175170898373,0.5652281725421076
24,16,28,5,,2.582783160476682,0.572579522476086
25,10,55,5,,2.577619415359482,0.566030374300593
26,9,60,6,,2.5734511764144887,0.5664737795141025
27,12,46,5,,2.556790213317867,0.564513501343655
28,9,51,5,,2.5468030004882776,0.5523799203736357
29,6,42,11,,2.5452790104293728,0.5588459182700302
30,6,55,10,,2.5190253383636505,0.5532801882665631
31,6,51,11,,2.5149677776336765,0.5524328870153147
32,10,55,6,,2.514831099967958,0.5523382634102566
33,13,37,5,,2.508421888160699,0.5540317239984098
34,7,60,10,,2.5081098265075745,0.5511289546929588
35,6,37,11,,2.506754441184991,0.5537799477344059
36,7,42,8,,2.5063069301223777,0.5415328970835036
37,18,24,5,,2.5061324567031824,0.5510235400939935
38,9,51,8,,2.489288518142699,0.5464220128871462
39,13,46,5,,2.4892254673004244,0.5463723538916435
40,7,42,10,,2.488333946495068,0.5456294769254294
41,12,33,6,,2.4820334640502875,0.5470033160651128
42,7,37,8,,2.4784348069000206,0.5354989188016859
43,15,60,5,,2.465055209846513,0.5408984572207243
44,12,55,5,,2.4504167376327604,0.5367341821300524
45,10,33,6,,2.4404757750701913,0.5281416769861662
46,6,33,10,,2.4404757750701913,0.5281416769861662
47,7,55,10,,2.4272187698364314,0.5314336124882916
48,6,60,10,,2.4256598066711432,0.530494081423303
49,10,60,6,,2.4256598066711432,0.530494081423303
50,13,33,5,,2.4224437745285132,0.5292418666674322
51,12,55,6,,2.416746034736629,0.527578405152895
52,13,42,5,,2.4067960071945227,0.5282438301921712
53,7,51,10,,2.4048661785888683,0.5247444451018247
54,15,33,5,,2.4006112956619354,0.5253369850799327
55,9,37,6,,2.3946715802001894,0.5132401646213225
56,16,55,5,,2.389859120941158,0.5229438790937153
57,6,37,10,,2.38920245613099,0.5129082567407295
58,10,37,6,,2.38920245613099,0.5129082567407295
59,6,20,18,,2.378476696815496,0.5188448475004831
60,15,28,5,,2.377244491233831,0.5213196320231438
61,13,60,6,,2.3770624571991146,0.5197268918638266
62,18,20,6,,2.376938064002987,0.5184642796742049
63,12,60,5,,2.3766826156616307,0.5176799057478751
64,13,60,5,,2.3722974415206886,0.5152839827815625
65,12,33,5,,2.3630476899337776,0.5073874145663453
66,6,55,11,,2.362739449691765,0.5143533144962791
67,9,42,6,,2.361715294761658,0.5042595083808702
68,7,37,10,,2.361033070449829,0.5162421280149547
69,6,60,11,,2.3608043318176275,0.5137743186361566
70,12,37,6,,2.355946627006527,0.5136339636596259
71,7,60,6,,2.354102453727719,0.5037874419635036
72,9,55,8,,2.3517906520462013,0.5124225987528777
73,7,55,6,,2.3483154399108908,0.5035626741659712
74,6,60,13,,2.3479563026428223,0.5124028135416204
75,13,55,5,,2.3313026683807494,0.5070286181264756
76,6,46,11,,2.3299809881210365,0.5063258236640158
77,12,51,6,,2.3289779892730778,0.5071562653441449
78,18,33,5,,2.3268173488998394,0.5027275636959614
79,9,33,8,,2.326376028862002,0.5052027776112152
80,15,46,5,,2.3220096520233193,0.5038517321751608
81,12,60,6,,2.3208760886383057,0.506486781958476
82,6,28,13,,2.3143476310348516,0.5020672206664997
83,13,28,6,,2.3143476310348516,0.5020672206664997
84,6,24,16,,2.3117679646682787,0.5002238169631635
85,16,24,6,,2.3117679646682787,0.5002238169631635
86,16,24,5,,2.308263499107361,0.4962121985019997
87,20,24,5,,2.2975082896804677,0.4972810815991495
88,18,28,5,,2.295610839157102,0.49658858029022707
89,10,42,5,,2.2928639165878204,0.4871022944764345
90,9,46,5,,2.2928358854675226,0.4867743913229688
91,13,51,5,,2.29254635704041,0.4971449529336177
92,12,46,6,,2.292002390975956,0.4979258097981739
93,7,33,10,,2.2881611976242024,0.49546500687695627
94,6,46,8,,2.2846795652770937,0.48494118137988523
95,15,55,5,,2.2839381625366215,0.49674171653012866
96,16,60,5,,2.2749934366607687,0.4914434845670196
