,short_ma,long_ma,signal,regime,cumulative_return,sharpe
50,6,42,5,0.0,1.7486665429687487,0.4510595931974831
40,6,37,5,0.0,1.7452699517822305,0.4489449066851299
130,7,33,5,0.0,1.7392925158691397,0.44446242676980363
581,13,55,6,0.0,1.7196977136230467,0.42935181357844593
261,9,46,6,0.0,1.7136527258300789,0.42949805520500905
152,7,42,8,0.0,1.7091629327392555,0.4301362605399387
85,6,55,13,0.0,1.7049034832763676,0.42227481276688034
31,6,33,6,0.0,1.704486666259768,0.42614269649109165
491,12,60,6,0.0,1.7044404608154298,0.4234339346732785
300,10,20,5,0.0,1.6985807318115258,0.42603830955179145
780,16,55,5,0.0,1.6914896423339898,0.4168197894148427
790,16,60,5,0.0,1.6897998895263613,0.4112303395916244
291,9,60,6,0.0,1.6895053894042984,0.4168027256173755
390,10,60,5,0.0,1.689296268920896,0.41750067135627794
162,7,46,8,0.0,1.6877131787109396,0.4174340674743941
63,6,46,10,0.0,1.684097043457029,0.4151698443189697
361,10,46,6,0.0,1.684097043457029,0.4151698443189697
420,12,28,5,0.0,1.6789954504394513,0.4204503201735754
182,7,55,8,0.0,1.6763348425292983,0.4110681880117579
251,9,42,6,0.0,1.6760727929687504,0.41174142443542905
591,13,60,6,0.0,1.6750320684814444,0.4066564003630687
210,9,24,5,0.0,1.6731303869628849,0.4134581020683848
283,9,55,10,0.0,1.6708228839111325,0.4022379084126998
95,6,60,13,0.0,1.6661106317138628,0.4024933184232024
370,10,51,5,0.0,1.6657730438232445,0.40662726480953776
373,10,51,10,0.0,1.6627126007079944,0.3982128352990476
292,9,60,8,0.0,1.6609975628662097,0.4016324881729661
82,6,55,8,0.0,1.6606538732910165,0.40501425774757394
600,15,20,5,0.0,1.658584656982425,0.4146521656654353
83,6,55,10,0.0,1.6585350769042921,0.4018015093604876
381,10,55,6,0.0,1.6585350769042921,0.4018015093604876
470,12,51,5,0.0,1.657376672363286,0.4010868602912485
690,15,60,5,0.0,1.6554213500976498,0.3998274859187057
281,9,55,6,0.0,1.654412058105464,0.4011431267537607
510,13,24,5,0.0,1.6541574755859398,0.4078593937001837
380,10,55,5,0.0,1.6531619958496122,0.40096118264701575
192,7,60,8,0.0,1.652168665771483,0.3992327816879256
490,12,60,5,0.0,1.6507149523925764,0.39823580040754664
360,10,46,5,0.0,1.6452654211425843,0.39584553239290216
60,6,46,5,0.0,1.644766208496093,0.3978666050280546
75,6,51,13,0.0,1.6426017858886681,0.3908369522747133
571,13,51,6,0.0,1.6422734863281276,0.3906733939694572
520,13,28,5,0.0,1.6406991857910123,0.3985936330641693
650,15,42,5,0.0,1.6397710314941436,0.3935816049208904
70,6,51,5,0.0,1.6395887304687526,0.39712610103124074
30,6,33,5,0.0,1.6386913012695343,0.3964979131859381
460,12,46,5,0.0,1.637242905273434,0.39182056899954093
80,6,55,5,0.0,1.6360340167236336,0.3957852645157209
211,9,24,6,0.0,1.6344085906982417,0.39803365913503436
280,9,55,5,0.0,1.6302967730712847,0.3890930938650514
72,6,51,8,0.0,1.6301589160156291,0.3911308131530526
172,7,51,8,0.0,1.6285700646972652,0.38991129481120906
194,7,60,11,0.0,1.6283668939208924,0.387270714422136
142,7,37,8,0.0,1.6250688977050782,0.3871149046669685
240,9,37,5,0.0,1.6241200769042956,0.39389588144684473
274,9,51,11,0.0,1.6232086749267511,0.3788256368055979
21,6,28,6,0.0,1.6224548211669962,0.39041397479283135
290,9,60,5,0.0,1.6222762359619138,0.38508712810669
270,9,51,5,0.0,1.6217261560058591,0.3865715692710107
53,6,42,10,0.0,1.6210024420165983,0.38473931957585794
