RSI_Period,RSI_Oversold,RSI_Overbought,RSI_Exit_Long,RSI_Exit_Short,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
33,35,85,60,58,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,85,60,58,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,85,60,52,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,85,60,58,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,85,60,55,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,85,60,52,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,85,60,58,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,85,60,55,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,85,60,52,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,85,60,58,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,85,60,55,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,85,60,52,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,82,60,58,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,82,60,55,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,82,60,52,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,82,60,58,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,82,60,52,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,85,60,55,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,82,60,55,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
33,35,82,60,52,capital_based,,0.98,36909.05828857422,36.90905828857422,2.225478277963422,0.23937894064302503,-32.25169164838484,12.846739801016499,3,2,38487.014488220215,1,-1577.956199645996,36909.05828857422,66.66666666666666,0,0,0,0,0,0
