RSI_Period,RSI_Oversold,RSI_Overbought,RSI_Exit_Long,RSI_Exit_Short,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
7,35,70,57,58,capital_based,,0.98,42861.91523742676,42.86191523742676,2.5307789115434076,0.5729856462870285,-7.288922183242401,4.582804797544019,106,27,37124.69656372069,4,-7054.611061096162,30070.085502624526,87.09677419354838,49,43079.429801940845,26,-30287.600067138614,12791.829734802232,65.33333333333333
7,35,70,57,58,capital_based,,0.98,42861.91523742676,42.86191523742676,2.5307789115434076,0.5729856462870285,-7.288922183242401,4.582804797544019,106,27,37124.69656372069,4,-7054.611061096162,30070.085502624526,87.09677419354838,49,43079.429801940845,26,-30287.600067138614,12791.829734802232,65.33333333333333
7,35,70,57,55,capital_based,,0.98,41053.24666595459,41.05324666595459,2.439289844477277,0.5464384727895609,-11.03739610365535,4.707738039829873,102,27,38077.91829681398,4,-7408.053314208941,30669.86498260504,87.09677419354838,47,48288.182556152286,24,-37904.800872802734,10383.381683349551,66.19718309859155
7,35,70,57,55,capital_based,,0.98,41053.24666595459,41.05324666595459,2.439289844477277,0.5464384727895609,-11.03739610365535,4.707738039829873,102,27,38077.91829681398,4,-7408.053314208941,30669.86498260504,87.09677419354838,47,48288.182556152286,24,-37904.800872802734,10383.381683349551,66.19718309859155
7,35,70,57,52,capital_based,,0.98,34643.95408630374,34.643954086303744,2.106057063872302,0.440446606481632,-11.037396103655404,5.068377760039507,97,27,35626.67556762697,4,-6862.297714233369,28764.3778533936,87.09677419354838,45,44767.12038421631,21,-38887.54415130617,5879.576232910142,68.18181818181817
7,35,70,57,52,capital_based,,0.98,34643.95408630374,34.643954086303744,2.106057063872302,0.440446606481632,-11.037396103655404,5.068377760039507,97,27,35626.67556762697,4,-6862.297714233369,28764.3778533936,87.09677419354838,45,44767.12038421631,21,-38887.54415130617,5879.576232910142,68.18181818181817
7,32,70,57,58,capital_based,,0.98,34495.668869018555,34.49566886901855,2.0981741369908047,0.5039166533650399,-7.288922183242401,4.330526038346748,95,17,24828.01236724855,3,-2855.0118560790725,21973.000511169477,85.0,49,42267.77522277825,26,-29745.10686492917,12522.668357849077,65.33333333333333
7,32,70,57,55,capital_based,,0.98,32812.85507965082,32.812855079650824,2.0081439998306028,0.47704848073622247,-11.506185208885507,4.4625066226358445,91,17,25403.426361083984,3,-3004.2719421386573,22399.154418945327,85.0,47,47327.55917358391,24,-36913.85851287842,10413.700660705494,66.19718309859155
7,35,73,57,58,capital_based,,0.98,32257.75920867914,32.25775920867914,1.9782137275808465,0.46289256984070115,-7.3932723321675216,4.448994549520707,91,26,34552.19492340089,4,-6834.517318725557,27717.677604675337,86.66666666666667,41,30228.11579895008,20,-25688.034194946275,4540.081604003804,67.21311475409836
7,35,73,57,58,capital_based,,0.98,32257.75920867914,32.25775920867914,1.9782137275808465,0.46289256984070115,-7.3932723321675216,4.448994549520707,91,26,34552.19492340089,4,-6834.517318725557,27717.677604675337,86.66666666666667,41,30228.11579895008,20,-25688.034194946275,4540.081604003804,67.21311475409836
7,35,70,60,58,capital_based,,0.98,31587.749504089385,31.587749504089384,1.941931416087228,0.4069325816326444,-13.627539003528987,5.05049428904473,107,25,34533.43244934085,5,-14481.338912963838,20052.09353637701,83.33333333333334,50,41568.55773162833,27,-30032.901763915957,11535.655967712373,64.93506493506493
7,35,70,60,58,capital_based,,0.98,31587.749504089385,31.587749504089384,1.941931416087228,0.4069325816326444,-13.627539003528987,5.05049428904473,107,25,34533.43244934085,5,-14481.338912963838,20052.09353637701,83.33333333333334,50,41568.55773162833,27,-30032.901763915957,11535.655967712373,64.93506493506493
7,35,70,60,58,capital_based,,0.98,31587.749504089385,31.587749504089384,1.941931416087228,0.4069325816326444,-13.627539003528987,5.05049428904473,107,25,34533.43244934085,5,-14481.338912963838,20052.09353637701,83.33333333333334,50,41568.55773162833,27,-30032.901763915957,11535.655967712373,64.93506493506493
7,35,70,60,58,capital_based,,0.98,31587.749504089385,31.587749504089384,1.941931416087228,0.4069325816326444,-13.627539003528987,5.05049428904473,107,25,34533.43244934085,5,-14481.338912963838,20052.09353637701,83.33333333333334,50,41568.55773162833,27,-30032.901763915957,11535.655967712373,64.93506493506493
13,35,67,60,58,capital_based,,0.98,30971.173973083496,30.971173973083495,1.9083905557389258,0.5167047702740544,-11.405414696462026,3.8338705851870243,57,6,17751.83110809326,0,0.0,17751.83110809326,100.0,37,36288.068611145034,14,-23068.7257461548,13219.342864990234,72.54901960784314
13,35,67,60,58,capital_based,,0.98,30971.173973083496,30.971173973083495,1.9083905557389258,0.5167047702740544,-11.405414696462026,3.8338705851870243,57,6,17751.83110809326,0,0.0,17751.83110809326,100.0,37,36288.068611145034,14,-23068.7257461548,13219.342864990234,72.54901960784314
13,35,67,60,58,capital_based,,0.98,30971.173973083496,30.971173973083495,1.9083905557389258,0.5167047702740544,-11.405414696462026,3.8338705851870243,57,6,17751.83110809326,0,0.0,17751.83110809326,100.0,37,36288.068611145034,14,-23068.7257461548,13219.342864990234,72.54901960784314
13,35,67,60,58,capital_based,,0.98,30971.173973083496,30.971173973083495,1.9083905557389258,0.5167047702740544,-11.405414696462026,3.8338705851870243,57,6,17751.83110809326,0,0.0,17751.83110809326,100.0,37,36288.068611145034,14,-23068.7257461548,13219.342864990234,72.54901960784314
