Window,Z_Long,Z_Short,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
7,-0.9,2.8,capital_based,,0.98,2703.7014770507812,2.7037014770507812,0.18709460545813794,0.06809127170070374,-27.485031656862347,9.896208805737649,14,10,33577.68993759155,4,-30873.98846054077,2703.7014770507812,71.42857142857143,0,0,0,0,0,0
7,-0.9,2.4,capital_based,,0.98,2703.7014770507812,2.7037014770507812,0.18709460545813794,0.06809127170070374,-27.485031656862347,9.896208805737649,14,10,33577.68993759155,4,-30873.98846054077,2703.7014770507812,71.42857142857143,0,0,0,0,0,0
7,-0.9,2.0,capital_based,,0.98,2703.7014770507812,2.7037014770507812,0.18709460545813794,0.06809127170070374,-27.485031656862347,9.896208805737649,14,10,33577.68993759155,4,-30873.98846054077,2703.7014770507812,71.42857142857143,0,0,0,0,0,0
7,-0.9,2.0,fixed,150.0,,445.96996307373047,0.44596996307373044,0.031182375348492997,0.06809127170070374,-27.485031656862347,9.896208805737649,14,10,6649.7406005859375,4,-6203.770637512207,445.96996307373047,71.42857142857143,0,0,0,0,0,0
7,-0.9,2.8,fixed,150.0,,445.96996307373047,0.44596996307373044,0.031182375348492997,0.06809127170070374,-27.485031656862347,9.896208805737649,14,10,6649.7406005859375,4,-6203.770637512207,445.96996307373047,71.42857142857143,0,0,0,0,0,0
7,-0.9,2.4,fixed,150.0,,445.96996307373047,0.44596996307373044,0.031182375348492997,0.06809127170070374,-27.485031656862347,9.896208805737649,14,10,6649.7406005859375,4,-6203.770637512207,445.96996307373047,71.42857142857143,0,0,0,0,0,0
13,-1.7,2.8,fixed,150.0,,-791.4773941040039,-0.791477394104004,-0.0556601648936117,-0.03995608624352517,-29.921352178900207,9.452051093677165,6,3,2894.5547103881836,3,-3686.0321044921875,-791.4773941040039,50.0,0,0,0,0,0,0
13,-1.7,2.4,fixed,150.0,,-791.4773941040039,-0.791477394104004,-0.0556601648936117,-0.03995608624352517,-29.921352178900207,9.452051093677165,6,3,2894.5547103881836,3,-3686.0321044921875,-791.4773941040039,50.0,0,0,0,0,0,0
13,-1.7,2.0,fixed,150.0,,-791.4773941040039,-0.791477394104004,-0.0556601648936117,-0.03995608624352517,-29.921352178900207,9.452051093677165,6,3,2894.5547103881836,3,-3686.0321044921875,-791.4773941040039,50.0,0,0,0,0,0,0
13,-1.3,2.0,fixed,150.0,,-1590.852928161621,-1.590852928161621,-0.11229648975864537,-0.0028274951933232747,-27.912172079789766,10.597767839882357,8,5,2095.1791763305664,3,-3686.0321044921875,-1590.852928161621,62.5,0,0,0,0,0,0
13,-1.3,2.8,fixed,150.0,,-1590.852928161621,-1.590852928161621,-0.11229648975864537,-0.0028274951933232747,-27.912172079789766,10.597767839882357,8,5,2095.1791763305664,3,-3686.0321044921875,-1590.852928161621,62.5,0,0,0,0,0,0
13,-1.3,2.4,fixed,150.0,,-1590.852928161621,-1.590852928161621,-0.11229648975864537,-0.0028274951933232747,-27.912172079789766,10.597767839882357,8,5,2095.1791763305664,3,-3686.0321044921875,-1590.852928161621,62.5,0,0,0,0,0,0
10,-1.7,2.8,fixed,150.0,,-2218.02921295166,-2.2180292129516603,-0.15703268230030654,-0.03153245919534185,-27.33911075281909,10.455921501795515,9,5,3604.547882080078,4,-5822.577095031738,-2218.02921295166,55.55555555555556,0,0,0,0,0,0
10,-1.7,2.4,fixed,150.0,,-2218.02921295166,-2.2180292129516603,-0.15703268230030654,-0.03153245919534185,-27.33911075281909,10.455921501795515,9,5,3604.547882080078,4,-5822.577095031738,-2218.02921295166,55.55555555555556,0,0,0,0,0,0
10,-1.7,2.0,fixed,150.0,,-2218.02921295166,-2.2180292129516603,-0.15703268230030654,-0.03153245919534185,-27.33911075281909,10.455921501795515,9,5,3604.547882080078,4,-5822.577095031738,-2218.02921295166,55.55555555555556,0,0,0,0,0,0
10,-1.3,2.4,fixed,150.0,,-3221.429443359375,-3.2214294433593746,-0.22916274901146894,-0.10632986945579413,-34.3481507141073,10.394594052311112,9,4,3300.362777709961,5,-6521.792221069336,-3221.429443359375,44.44444444444444,0,0,0,0,0,0
10,-1.3,2.8,fixed,150.0,,-3221.429443359375,-3.2214294433593746,-0.22916274901146894,-0.10632986945579413,-34.3481507141073,10.394594052311112,9,4,3300.362777709961,5,-6521.792221069336,-3221.429443359375,44.44444444444444,0,0,0,0,0,0
10,-1.3,2.0,fixed,150.0,,-3221.429443359375,-3.2214294433593746,-0.22916274901146894,-0.10632986945579413,-34.3481507141073,10.394594052311112,9,4,3300.362777709961,5,-6521.792221069336,-3221.429443359375,44.44444444444444,0,0,0,0,0,0
7,-1.7,2.0,fixed,150.0,,-3664.2391204833984,-3.6642391204833986,-0.26121582403553223,-0.03333331225278727,-23.746303686928396,8.78744147514145,7,4,1881.6919326782227,3,-5545.931053161621,-3664.2391204833984,57.14285714285714,0,0,0,0,0,0
7,-1.7,2.4,fixed,150.0,,-3664.2391204833984,-3.6642391204833986,-0.26121582403553223,-0.03333331225278727,-23.746303686928396,8.78744147514145,7,4,1881.6919326782227,3,-5545.931053161621,-3664.2391204833984,57.14285714285714,0,0,0,0,0,0
