Window,Pct_Long,Pct_Short,Min_Candles,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
5,0.5,1.3,2,capital_based,,0.98,41332.39312744158,41.33239312744158,2.453481033849747,0.3218776314440952,-22.410321999315087,8.686140903223137,178,98,118674.30176544188,42,-90522.43489837636,28151.866867065517,70.0,23,28963.475234985337,15,-15782.948974609273,13180.526260376064,60.526315789473685
4,0.4,1.4,2,capital_based,,0.98,40115.08281707775,40.11508281707775,2.3914035279497314,0.3347515451279113,-14.844254284038913,8.154720513210261,179,113,139810.21408843994,42,-101851.30541992188,37958.90866851807,72.90322580645162,15,16282.687332153437,9,-14126.51318359375,2156.1741485596867,62.5
5,0.6,1.3,2,capital_based,,0.98,36555.314414978144,36.55531441497815,2.2069497592378973,0.29663434034151753,-23.46892922552298,8.557248173541051,165,89,107493.68398284906,38,-83424.54772186272,24069.136260986343,70.07874015748031,23,28082.667602539077,15,-15596.489448547276,12486.178153991801,60.526315789473685
4,0.4,1.3,2,capital_based,,0.98,35449.38031005868,35.44938031005868,2.148733479006104,0.30397566699097406,-16.004357776869345,8.188681710225955,183,113,137306.43628692627,42,-99965.12341308595,37341.31287384032,72.90322580645162,15,16636.194534301845,13,-18528.127098083496,-1891.932563781651,53.57142857142857
5,0.4,1.3,2,capital_based,,0.98,34040.864982605155,34.04086498260516,2.0739459933568627,0.27566647930599647,-21.180029270088827,8.812547794629754,188,104,118261.90780639647,46,-96788.27571868886,21473.632087707607,69.33333333333334,23,28018.589576721162,15,-15451.356681823614,12567.232894897548,60.526315789473685
4,0.6,1.4,2,capital_based,,0.98,32858.59664154056,32.85859664154056,2.0106051532423397,0.29309165547088745,-15.948585608012861,7.9589455525328106,154,90,121294.50665283199,40,-90433.36692047122,30861.139732360767,69.23076923076923,15,15829.50254821786,9,-13832.045639038071,1997.4569091797894,62.5
4,0.5,1.4,2,capital_based,,0.98,31069.816429138213,31.069816429138214,1.9137664232653728,0.2787740449490346,-15.501531107067876,8.048869082975923,161,97,122292.09037017818,40,-93194.89197540286,29097.198394775318,70.8029197080292,15,15653.909118652446,9,-13681.29108428955,1972.6180343628948,62.5
5,0.5,1.4,2,capital_based,,0.98,30876.2623214724,30.876262321472403,1.9032144560457764,0.25947481874914763,-24.114744744552898,8.630314223973905,173,98,113670.0675048828,42,-87163.64393615712,26506.423568725673,70.0,18,19620.166862487866,15,-15250.328109741138,4369.838752746728,54.54545454545454
4,0.6,1.3,2,capital_based,,0.98,28421.71025085452,28.42171025085452,1.7681259313844677,0.2617132934069571,-15.948585608012808,7.9936910858430315,158,90,119130.34806823723,40,-88745.48587799075,30384.86219024648,69.23076923076923,15,16206.813308715922,13,-18169.96524810788,-1963.1519393919589,53.57142857142857
4,0.5,1.3,2,capital_based,,0.98,26709.992530822783,26.709992530822785,1.6724914805676505,0.24781845378583375,-15.501531107067867,8.083217588052964,165,97,120148.90746307369,40,-91443.18936920169,28705.718093871998,70.8029197080292,15,16009.108703613383,13,-18004.834266662598,-1995.7255630492145,53.57142857142857
5,0.6,1.4,2,capital_based,,0.98,26445.807929992792,26.445807929992792,1.6576244586589128,0.2331447009614376,-25.1500974054486,8.50050812915318,160,89,102857.11410522455,38,-80351.62128448479,22505.49282073976,70.07874015748031,18,19012.686256408735,15,-15072.371147155704,3940.3151092530316,54.54545454545454
5,0.4,1.4,2,capital_based,,0.98,24138.43549346947,24.13843549346947,1.5265347793048667,0.2138524454089133,-22.911478018849625,8.75743449823573,183,104,113374.35986328124,46,-93154.68562316884,20219.674240112392,69.33333333333334,18,18844.497131347714,15,-14925.735877990635,3918.761253357079,54.54545454545454
5,0.5,1.3,2,fixed,150.0,,12336.494064331055,12.336494064331054,0.8183895073325953,0.3218776314440952,-22.410321999315087,8.686140903223137,178,98,27643.819427490234,42,-20467.902374267578,7175.917053222656,70.0,23,8229.745101928711,15,-3069.1680908203125,5160.577011108398,60.526315789473685
5,0.6,1.3,2,fixed,150.0,,11725.994110107422,11.725994110107422,0.7799031418187496,0.29663434034151753,-23.46892922552298,8.557248173541051,165,89,25869.73114013672,38,-19304.314041137695,6565.417098999023,70.07874015748031,23,8229.745101928711,15,-3069.1680908203125,5160.577011108398,60.526315789473685
5,0.4,1.3,2,fixed,150.0,,10645.374298095703,10.645374298095703,0.7112980982325157,0.27566647930599647,-21.180029270088827,8.812547794629754,188,104,28019.97184753418,46,-22535.174560546875,5484.797286987305,69.33333333333334,23,8229.745101928711,15,-3069.1680908203125,5160.577011108398,60.526315789473685
5,0.5,1.4,2,fixed,150.0,,10463.882446289062,10.463882446289062,0.6997146992062664,0.25947481874914763,-24.114744744552898,8.630314223973905,173,98,27643.819427490234,42,-20467.902374267578,7175.917053222656,70.0,18,6357.133483886719,15,-3069.1680908203125,3287.9653930664062,54.54545454545454
5,0.6,1.4,2,fixed,150.0,,9853.38249206543,9.85338249206543,0.6606202917493587,0.2331447009614376,-25.1500974054486,8.50050812915318,160,89,25869.73114013672,38,-19304.314041137695,6565.417098999023,70.07874015748031,18,6357.133483886719,15,-3069.1680908203125,3287.9653930664062,54.54545454545454
4,0.4,1.4,2,fixed,150.0,,8906.563568115234,8.906563568115235,0.5995876403430689,0.3347515451279113,-14.844254284038913,8.154720513210261,179,113,28603.287506103516,42,-21140.961456298828,7462.3260498046875,72.90322580645162,15,4843.195724487305,9,-3398.958206176758,1444.2375183105469,62.5
5,0.4,1.4,2,fixed,150.0,,8772.762680053711,8.772762680053711,0.5909229737072419,0.2138524454089133,-22.911478018849625,8.75743449823573,183,104,28019.97184753418,46,-22535.174560546875,5484.797286987305,69.33333333333334,18,6357.133483886719,15,-3069.1680908203125,3287.9653930664062,54.54545454545454
4,0.4,1.3,2,fixed,150.0,,8068.401718139648,8.068401718139647,0.5451459529462355,0.30397566699097406,-16.004357776869345,8.188681710225955,183,113,28603.287506103516,42,-21140.961456298828,7462.3260498046875,72.90322580645162,15,4989.555358886719,13,-4383.479690551758,606.0756683349609,53.57142857142857
