Window,Z_Long,Z_Short,Method,Position_Size,Capital_Alloc_Pct,Total P&L ($),Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Volatility (% annualized),Total Trades,Winning Longs,Winning Longs P&L ($),Losing Longs,Losing Longs P&L ($),Final Long P&L ($),Long Win Rate (%),Winning Shorts,Winning Shorts P&L ($),Losing Shorts,Losing Shorts P&L ($),Final Short P&L ($),Short Win Rate (%)
25,-0.8,2.5,capital_based,,0.98,20294.319751739502,20.2943197517395,1.3030199091566663,0.2577913522764476,-13.355510031635355,5.7657700966286365,3,3,20294.319751739502,0,0.0,20294.319751739502,100.0,0,0,0,0,0,0
25,-0.8,2.9,capital_based,,0.98,20294.319751739502,20.2943197517395,1.3030199091566663,0.2577913522764476,-13.355510031635355,5.7657700966286365,3,3,20294.319751739502,0,0.0,20294.319751739502,100.0,0,0,0,0,0,0
25,-0.8,3.3,capital_based,,0.98,20294.319751739502,20.2943197517395,1.3030199091566663,0.2577913522764476,-13.355510031635355,5.7657700966286365,3,3,20294.319751739502,0,0.0,20294.319751739502,100.0,0,0,0,0,0,0
25,-0.5,2.5,capital_based,,0.98,20025.70636749269,20.025706367492692,1.2871542272281822,0.2960335514718543,-13.355510031635355,4.8043124191059094,3,3,20025.70636749269,0,0.0,20025.70636749269,100.0,0,0,0,0,0,0
25,-0.5,3.3,capital_based,,0.98,20025.70636749269,20.025706367492692,1.2871542272281822,0.2960335514718543,-13.355510031635355,4.8043124191059094,3,3,20025.70636749269,0,0.0,20025.70636749269,100.0,0,0,0,0,0,0
25,-0.5,2.9,capital_based,,0.98,20025.70636749269,20.025706367492692,1.2871542272281822,0.2960335514718543,-13.355510031635355,4.8043124191059094,3,3,20025.70636749269,0,0.0,20025.70636749269,100.0,0,0,0,0,0,0
30,-1.2,2.5,capital_based,,0.98,16039.894386291504,16.039894386291504,1.0477683523685943,0.20588877265370156,-13.355510031635346,6.055879365305654,2,2,16039.894386291504,0,0.0,16039.894386291504,100.0,0,0,0,0,0,0
30,-1.2,3.3,capital_based,,0.98,16039.894386291504,16.039894386291504,1.0477683523685943,0.20588877265370156,-13.355510031635346,6.055879365305654,2,2,16039.894386291504,0,0.0,16039.894386291504,100.0,0,0,0,0,0,0
30,-1.2,2.9,capital_based,,0.98,16039.894386291504,16.039894386291504,1.0477683523685943,0.20588877265370156,-13.355510031635346,6.055879365305654,2,2,16039.894386291504,0,0.0,16039.894386291504,100.0,0,0,0,0,0,0
25,-1.2,2.9,capital_based,,0.98,15678.459922790527,15.678459922790527,1.025684174443664,0.20675521450831563,-15.038991762208335,5.857126546896775,2,2,15678.459922790527,0,0.0,15678.459922790527,100.0,0,0,0,0,0,0
25,-1.2,3.3,capital_based,,0.98,15678.459922790527,15.678459922790527,1.025684174443664,0.20675521450831563,-15.038991762208335,5.857126546896775,2,2,15678.459922790527,0,0.0,15678.459922790527,100.0,0,0,0,0,0,0
25,-1.2,2.5,capital_based,,0.98,15678.459922790527,15.678459922790527,1.025684174443664,0.20675521450831563,-15.038991762208335,5.857126546896775,2,2,15678.459922790527,0,0.0,15678.459922790527,100.0,0,0,0,0,0,0
30,-0.8,2.5,capital_based,,0.98,13317.267784118667,13.317267784118666,0.8798128561835483,0.1924512384737263,-13.355510031635355,5.42089387214518,2,2,13317.267784118667,0,0.0,13317.267784118667,100.0,0,0,0,0,0,0
30,-0.8,2.9,capital_based,,0.98,13317.267784118667,13.317267784118666,0.8798128561835483,0.1924512384737263,-13.355510031635355,5.42089387214518,2,2,13317.267784118667,0,0.0,13317.267784118667,100.0,0,0,0,0,0,0
30,-0.8,3.3,capital_based,,0.98,13317.267784118667,13.317267784118666,0.8798128561835483,0.1924512384737263,-13.355510031635355,5.42089387214518,2,2,13317.267784118667,0,0.0,13317.267784118667,100.0,0,0,0,0,0,0
30,-0.5,2.9,capital_based,,0.98,10603.942737579346,10.603942737579345,0.7086553587779987,0.4036641543601552,-2.3133081643923057,1.8283176438283562,1,1,10603.942737579346,0,0.0,10603.942737579346,100.0,0,0,0,0,0,0
30,-0.5,3.3,capital_based,,0.98,10603.942737579346,10.603942737579345,0.7086553587779987,0.4036641543601552,-2.3133081643923057,1.8283176438283562,1,1,10603.942737579346,0,0.0,10603.942737579346,100.0,0,0,0,0,0,0
35,-0.5,2.5,capital_based,,0.98,10603.942737579346,10.603942737579345,0.7086553587779987,0.4036641543601552,-2.3133081643923057,1.8283176438283562,1,1,10603.942737579346,0,0.0,10603.942737579346,100.0,0,0,0,0,0,0
35,-0.5,2.9,capital_based,,0.98,10603.942737579346,10.603942737579345,0.7086553587779987,0.4036641543601552,-2.3133081643923057,1.8283176438283562,1,1,10603.942737579346,0,0.0,10603.942737579346,100.0,0,0,0,0,0,0
30,-0.5,2.5,capital_based,,0.98,10603.942737579346,10.603942737579345,0.7086553587779987,0.4036641543601552,-2.3133081643923057,1.8283176438283562,1,1,10603.942737579346,0,0.0,10603.942737579346,100.0,0,0,0,0,0,0
